Date,Meat,Seafood,Dairy,Eggs,Fruits,Vegetables,Frozen,Canned,Dry
2017-01-31,40,50,47,32,50,36,48,40,43
2017-02-28,61,51,51,41,54,38,63,47,35
2017-03-31,44,46,50,47,50,43,47,40,42
2017-04-30,43,56,56,37,47,44,56,48,39
2017-05-31,48,49,48,35,51,36,52,47,36
2017-06-30,40,55,50,41,48,32,62,44,38
2017-07-31,48,52,49,41,53,40,52,47,41
2017-08-31,42,45,49,50,45,29,50,51,38
2017-09-30,44,58,52,32,52,29,63,50,39
2017-10-31,53,54,52,35,49,32,58,48,50
2017-11-30,42,44,53,33,53,33,55,45,40
2017-12-31,45,44,53,42,50,39,52,44,27
2018-01-31,46,51,52,41,58,36,49,45,38
2018-02-28,36,46,40,45,59,38,50,52,39
2018-03-31,47,46,52,32,51,42,50,43,38
2018-04-30,45,47,53,43,46,39,48,41,41
2018-05-31,48,48,55,34,56,33,51,47,45
2018-06-30,44,55,50,39,58,41,55,42,42
2018-07-31,55,51,51,40,56,29,46,56,33
2018-08-31,43,40,49,34,55,32,48,53,29
2018-09-30,43,52,54,37,49,27,56,52,50
2018-10-31,46,55,50,38,51,45,49,45,37
2018-11-30,44,45,50,32,49,36,48,45,34
2018-12-31,52,57,46,39,52,44,50,49,50
2019-01-31,49,43,56,40,55,41,62,48,35
2019-02-28,47,49,56,43,48,33,53,52,41
2019-03-31,44,47,51,52,61,29,62,48,40
2019-04-30,50,55,53,44,59,38,58,54,36
2019-05-31,44,52,58,33,48,44,54,52,31
2019-06-30,39,54,54,39,51,33,55,49,48
2019-07-31,41,48,50,40,62,34,48,51,34
2019-08-31,46,51,50,43,51,30,55,41,31
2019-09-30,49,50,45,35,51,37,53,50,34
2019-10-31,41,50,55,34,54,43,51,51,40
2019-11-30,43,41,49,42,52,36,54,48,36
2019-12-31,44,46,53,39,47,35,57,50,37
2020-01-31,50,59,47,34,56,41,52,48,44
2020-02-29,48,49,49,30,63,37,64,61,35
2020-03-31,42,44,55,35,49,44,60,49,46
2020-04-30,49,57,63,45,53,38,60,62,34
2020-05-31,45,46,54,41,54,40,61,59,41
2020-06-30,42,52,56,42,58,42,53,46,38
2020-07-31,50,52,53,44,59,32,56,54,36
2020-08-31,43,51,62,49,50,34,46,46,43
2020-09-30,51,46,49,40,54,39,47,46,35
2020-10-31,47,57,58,44,53,44,51,45,35
2020-11-30,43,49,42,39,49,41,36,54,36
2020-12-31,62,47,49,40,53,42,51,58,32
2021-01-31,47,46,55,36,58,41,58,55,33
2021-02-28,49,52,53,36,60,34,48,59,39
2021-03-31,43,50,46,34,50,42,56,56,42
2021-04-30,44,50,48,40,50,40,48,53,48
2021-05-31,45,51,53,43,44,37,62,52,41
2021-06-30,45,57,55,41,54,36,57,56,41
2021-07-31,41,51,48,39,41,42,61,51,47
2021-08-31,44,53,52,49,56,44,51,56,42
2021-09-30,60,50,42,34,55,43,57,50,35
2021-10-31,43,51,52,32,54,41,65,58,43
2021-11-30,58,59,52,41,57,40,59,51,26
2021-12-31,48,55,60,43,52,27,59,48,45
2022-01-31,60,46,56,44,44,39,56,49,42
2022-02-28,51,51,61,35,59,33,37,48,37
2022-03-31,41,55,57,38,51,45,53,52,41
2022-04-30,54,59,61,41,63,36,58,48,39
2022-05-31,47,54,54,45,62,25,66,57,32
2022-06-30,43,45,54,43,51,44,65,48,36
2022-07-31,40,46,43,40,51,35,57,53,36
2022-08-31,48,55,57,33,55,44,57,37,43
2022-09-30,46,52,54,32,53,44,54,37,37
2022-10-31,48,45,52,39,61,44,58,53,48
2022-11-30,48,51,59,36,59,42,57,56,42
2022-12-31,43,54,58,40,59,44,55,52,47
2023-01-31,46,53,46,51,56,41,52,44,39
2023-02-28,48,53,54,35,50,36,49,60,34
2023-03-31,45,45,50,49,55,43,56,52,38
2023-04-30,47,53,58,36,53,41,55,55,42
2023-05-31,51,46,53,39,59,43,54,52,46
2023-06-30,48,53,48,36,56,35,51,50,51
2023-07-31,42,44,47,37,50,40,61,57,41
2023-08-31,48,52,40,43,51,42,61,56,46
2023-09-30,48,53,53,40,46,42,63,54,37
2023-10-31,44,56,51,44,53,39,47,44,39
2023-11-30,40,57,60,38,52,38,44,62,44
2023-12-31,41,60,52,37,65,35,61,58,40
