Date,Meat,Seafood,Dairy,Eggs,Fruits,Vegetables,Frozen,Canned,Dry
2015-03-31,51,39,46,56,43,37,47,32,52
2015-04-30,51,50,45,50,43,49,47,36,46
2015-05-31,59,53,50,50,38,49,44,36,46
2015-06-30,63,39,37,55,38,39,39,50,40
2015-07-31,52,39,40,52,34,41,53,42,43
2015-08-31,44,41,48,45,38,45,45,46,54
2015-09-30,51,43,42,51,36,32,45,45,45
2015-10-31,51,46,33,54,39,35,42,39,47
2015-11-30,57,50,48,54,40,44,55,41,50
2015-12-31,53,50,41,56,33,48,51,52,46
2016-01-31,53,38,50,52,33,37,41,41,48
2016-02-29,56,37,36,56,37,34,50,45,42
2016-03-31,51,34,44,56,34,39,51,47,49
2016-04-30,47,47,45,51,43,45,46,35,58
2016-05-31,54,46,47,50,48,43,50,51,49
2016-06-30,51,49,42,48,30,39,49,42,49
2016-07-31,48,55,45,56,34,38,49,44,37
2016-08-31,51,46,53,49,42,30,46,30,51
2016-09-30,54,32,42,46,40,44,46,36,47
2016-10-31,43,46,41,51,32,38,44,38,54
2016-11-30,46,43,33,57,28,41,45,41,45
2016-12-31,43,45,42,58,32,38,49,43,54
2017-01-31,53,41,47,49,37,41,54,40,44
2017-02-28,54,44,46,55,35,41,50,40,53
2017-03-31,56,44,47,54,34,37,47,44,56
2017-04-30,63,41,45,49,48,46,56,52,49
2017-05-31,66,52,42,58,42,46,49,46,49
2017-06-30,58,43,44,53,39,42,49,40,54
2017-07-31,63,43,51,51,36,47,46,33,56
2017-08-31,60,44,41,45,38,42,42,48,56
2017-09-30,52,43,50,50,30,45,50,38,41
2017-10-31,55,39,39,54,44,34,51,49,45
2017-11-30,57,39,50,55,35,42,44,44,50
2017-12-31,58,51,42,54,40,45,50,46,51
2018-01-31,61,39,45,53,39,51,43,36,52
2018-02-28,49,46,40,53,40,51,48,43,52
2018-03-31,70,45,46,61,44,44,52,50,51
2018-04-30,60,50,32,66,38,44,48,38,47
2018-05-31,54,53,49,60,45,50,56,47,52
2018-06-30,49,47,41,52,40,41,39,49,48
2018-07-31,45,46,42,57,38,36,43,44,56
2018-08-31,55,47,49,60,36,42,52,42,59
2018-09-30,48,43,42,51,39,41,51,46,51
2018-10-31,56,45,47,55,42,47,53,56,53
2018-11-30,58,38,40,52,39,40,56,40,44
2018-12-31,62,46,46,55,33,39,40,44,48
2019-01-31,58,44,35,52,38,44,49,36,45
2019-02-28,50,50,46,57,31,48,56,49,57
2019-03-31,52,51,47,62,38,47,58,47,49
2019-04-30,48,50,47,58,37,43,50,46,52
2019-05-31,59,49,41,56,31,37,49,34,50
2019-06-30,53,49,42,54,46,37,55,48,47
2019-07-31,53,45,47,53,35,41,50,45,60
2019-08-31,54,44,51,47,43,38,46,38,46
2019-09-30,55,36,51,50,39,49,45,49,42
2019-10-31,45,52,50,49,37,46,48,43,52
2019-11-30,62,45,50,51,35,42,46,44,53
2019-12-31,53,50,47,56,32,42,49,51,58
2020-01-31,49,41,45,52,40,42,60,42,52
2020-02-29,70,46,48,59,33,47,50,39,54
2020-03-31,54,50,43,59,46,49,50,51,59
2020-04-30,60,41,36,46,43,49,55,54,57
2020-05-31,55,43,48,55,47,41,50,42,63
2020-06-30,64,49,46,58,41,37,56,51,49
2020-07-31,56,48,43,58,36,51,47,43,46
2020-08-31,53,50,43,52,42,40,48,48,54
2020-09-30,44,41,56,56,40,43,44,39,40
2020-10-31,56,42,50,57,44,43,54,47,49
2020-11-30,56,53,45,64,40,43,47,40,54
2020-12-31,63,50,46,49,37,49,47,50,49
2021-01-31,58,45,40,49,39,42,51,43,54
2021-02-28,56,55,48,56,33,47,48,48,53
2021-03-31,62,57,49,54,38,35,55,44,55
2021-04-30,63,46,50,56,39,45,58,47,53
2021-05-31,54,52,46,46,43,47,57,41,53
2021-06-30,57,45,49,52,35,53,48,48,54
2021-07-31,52,51,50,66,38,44,58,40,55
2021-08-31,56,49,38,50,39,38,53,48,58
2021-09-30,58,53,41,56,43,47,52,46,45
2021-10-31,57,50,42,59,38,43,50,47,51
2021-11-30,54,41,45,59,35,36,41,50,55
2021-12-31,58,47,43,59,38,47,46,47,52
2022-01-31,59,43,37,56,42,44,54,53,53
2022-02-28,56,52,53,60,42,43,45,53,55
2022-03-31,59,43,55,48,38,40,52,57,57
2022-04-30,62,49,45,62,42,44,58,42,56
2022-05-31,56,45,49,59,36,43,58,47,51
2022-06-30,58,51,45,64,35,42,49,47,48
2022-07-31,60,47,45,54,37,33,47,50,52
2022-08-31,62,37,56,50,48,52,50,39,56
2022-09-30,47,42,44,52,34,47,47,47,58
2022-10-31,51,51,47,52,29,36,47,52,51
2022-11-30,55,47,49,44,33,45,47,49,51
2022-12-31,50,42,40,52,35,50,47,51,66
2023-01-31,59,58,51,57,50,45,51,45,54
2023-02-28,53,52,41,59,34,46,48,41,55
2023-03-31,63,64,53,53,39,52,52,36,53
2023-04-30,59,46,53,57,43,43,58,49,52
2023-05-31,58,47,56,66,45,46,53,53,57
2023-06-30,64,46,54,64,37,46,57,44,58
2023-07-31,58,44,50,53,45,48,45,43,53
2023-08-31,61,43,48,54,34,44,58,53,55
2023-09-30,55,43,56,59,34,45,58,50,46
2023-10-31,59,52,42,56,38,40,54,51,47
2023-11-30,60,47,39,50,48,45,61,45,50
2023-12-31,56,48,52,57,34,45,52,51,49
